,Number,Theme,Subtheme,Year,Set name,Pieces,RRP (USD),Value new (USD),Value used (USD),CPI Mean
5810,71000-13,Collectable Minifigures,Series 9,2013,Battle Mech,6.0,29.900000000000002,7.18,4.07,369.8834615384616
5811,71000-14,Collectable Minifigures,Series 9,2013,Mr. Good and Evil,6.0,29.900000000000002,6.11,4.78,369.8834615384616
5812,71000-15,Collectable Minifigures,Series 9,2013,Forest Maiden,7.0,29.900000000000002,33.36,30.03,369.8834615384616
5813,71000-16,Collectable Minifigures,Series 9,2013,Plumber,6.0,29.900000000000002,10.19,10.31,369.8834615384616
5814,71001-0,Collectable Minifigures,Series 10,2013,LEGO Minifigures Series 10 {Random bag},110.0,29.900000000000002,38.12,20.0,369.8834615384616
5815,71001-1,Collectable Minifigures,Series 10,2013,Librarian,7.0,29.900000000000002,19.71,13.93,369.8834615384616
5816,71001-2,Collectable Minifigures,Series 10,2013,Medusa,5.0,29.900000000000002,25.01,18.11,369.8834615384616
5817,71001-3,Collectable Minifigures,Series 10,2013,Roman Commander,8.0,29.900000000000002,17.1,11.42,369.8834615384616
5818,71001-4,Collectable Minifigures,Series 10,2013,Warrior Woman,7.0,29.900000000000002,9.68,6.28,369.8834615384616
5819,71001-5,Collectable Minifigures,Series 10,2013,Tomahawk Warrior,6.0,29.900000000000002,10.08,5.95,369.8834615384616
5820,71001-6,Collectable Minifigures,Series 10,2013,Skydiver,6.0,29.900000000000002,5.32,2.15,369.8834615384616
5821,71001-7,Collectable Minifigures,Series 10,2013,Bumblebee Girl,7.0,29.900000000000002,37.99,27.13,369.8834615384616
5822,71001-8,Collectable Minifigures,Series 10,2013,Grandpa,7.0,29.900000000000002,14.79,9.78,369.8834615384616
5823,71001-9,Collectable Minifigures,Series 10,2013,Paintball Player,7.0,29.900000000000002,8.4,4.87,369.8834615384616
5824,71001-10,Collectable Minifigures,Series 10,2013,Sea Captain,7.0,29.900000000000002,22.07,14.31,369.8834615384616
5825,71001-11,Collectable Minifigures,Series 10,2013,Sad Clown,6.0,29.900000000000002,7.95,5.61,369.8834615384616
5826,71001-12,Collectable Minifigures,Series 10,2013,Revolutionary Soldier,6.0,29.900000000000002,16.06,10.05,369.8834615384616
5827,71001-13,Collectable Minifigures,Series 10,2013,Baseball Fielder,5.0,29.900000000000002,8.51,3.76,369.8834615384616
5828,71001-14,Collectable Minifigures,Series 10,2013,Trendsetter,7.0,29.900000000000002,13.27,9.53,369.8834615384616
5829,71001-15,Collectable Minifigures,Series 10,2013,Decorator,9.0,29.900000000000002,9.77,4.87,369.8834615384616
5830,71001-16,Collectable Minifigures,Series 10,2013,Motorcycle Mechanic,6.0,29.900000000000002,4.16,2.67,369.8834615384616
5831,71001-19,Collectable Minifigures,Series 10,2013,Mr. Gold,8.0,29.900000000000002,38.12,20.0,369.8834615384616
5832,71002-0,Collectable Minifigures,Series 11,2013,LEGO Minifigures Series 11 {Random bag},7.0,29.900000000000002,38.12,20.0,369.8834615384616
5833,71002-1,Collectable Minifigures,Series 11,2013,Barbarian,7.0,29.900000000000002,8.28,5.21,369.8834615384616
5834,71002-2,Collectable Minifigures,Series 11,2013,Scarecrow,7.0,29.900000000000002,17.81,11.6,369.8834615384616
5835,71002-3,Collectable Minifigures,Series 11,2013,Pretzel Girl,7.0,29.900000000000002,19.7,14.5,369.8834615384616
5836,71002-4,Collectable Minifigures,Series 11,2013,Evil Mech,8.0,29.900000000000002,10.68,4.76,369.8834615384616
5837,71002-5,Collectable Minifigures,Series 11,2013,Island Warrior,8.0,29.900000000000002,30.24,18.07,369.8834615384616
5838,71002-6,Collectable Minifigures,Series 11,2013,Gingerbread Man,5.0,29.900000000000002,13.46,7.96,369.8834615384616
5839,71002-7,Collectable Minifigures,Series 11,2013,Holiday Elf,8.0,29.900000000000002,10.77,8.04,369.8834615384616
5840,71002-8,Collectable Minifigures,Series 11,2013,Yeti,5.0,29.900000000000002,10.85,6.6,369.8834615384616
5841,71002-9,Collectable Minifigures,Series 11,2013,Mountain Climber,7.0,29.900000000000002,5.29,3.28,369.8834615384616
5842,71002-10,Collectable Minifigures,Series 11,2013,Welder,7.0,29.900000000000002,14.91,5.91,369.8834615384616
5843,71002-11,Collectable Minifigures,Series 11,2013,Scientist,7.0,29.900000000000002,13.49,6.79,369.8834615384616
5844,71002-12,Collectable Minifigures,Series 11,2013,Saxophone Player,6.0,29.900000000000002,16.13,12.23,369.8834615384616
5845,71002-13,Collectable Minifigures,Series 11,2013,Diner Waitress,10.0,29.900000000000002,11.58,11.15,369.8834615384616
5846,71002-14,Collectable Minifigures,Series 11,2013,Grandma,7.0,29.900000000000002,15.94,11.15,369.8834615384616
5847,71002-15,Collectable Minifigures,Series 11,2013,Constable,6.0,29.900000000000002,7.45,4.92,369.8834615384616
5848,71002-16,Collectable Minifigures,Series 11,2013,Lady Robot,5.0,29.900000000000002,6.66,3.74,369.8834615384616
5849,75000-1,Star Wars,Episode II,2013,Clone Troopers vs. Droidekas,124.0,129.9,47.98,23.34,369.8834615384616
5850,75001-1,Star Wars,The Old Republic,2013,Republic Troopers vs. Sith Troopers,63.0,129.9,51.66,20.91,369.8834615384616
5851,75002-1,Star Wars,The Clone Wars,2013,AT-RT,222.0,199.89999999999998,50.31,27.48,369.8834615384616
5852,75003-1,Star Wars,Episode VI,2013,A-wing Starfighter,177.0,249.89999999999998,56.39,32.0,369.8834615384616
5853,75004-1,Star Wars,The Clone Wars,2013,Z-95 Headhunter,373.0,499.90000000000003,174.68,103.61,369.8834615384616
5854,75005-1,Star Wars,Episode VI,2013,Rancor Pit,380.0,599.9,263.11,185.47,369.8834615384616
5855,75006-1,Star Wars,Planet Set,2013,Jedi Starfighter & Planet Kamino,61.0,99.9,31.99,15.93,369.8834615384616
5856,75007-1,Star Wars,Planet Set,2013,Republic Assault Ship & Planet Coruscant,74.0,99.9,37.42,25.3,369.8834615384616
5857,75008-1,Star Wars,Planet Set,2013,TIE Bomber & Asteroid Field,60.0,99.9,30.07,22.87,369.8834615384616
5858,75009-1,Star Wars,Planet Set,2013,Snowspeeder & Planet Hoth,69.0,99.9,72.75,41.89,369.8834615384616
5859,75010-1,Star Wars,Planet Set,2013,B-Wing Starfighter & Planet Endor,83.0,99.9,33.38,15.85,369.8834615384616
5860,75011-1,Star Wars,Planet Set,2013,Tantive IV & Planet Alderaan,102.0,99.9,52.3,54.28,369.8834615384616
5861,75012-1,Star Wars,The Clone Wars,2013,BARC Speeder with Sidecar,226.0,249.89999999999998,396.54,186.02,369.8834615384616
5862,75013-1,Star Wars,The Clone Wars,2013,Umbaran MHC (Mobile Heavy Cannon),493.0,499.90000000000003,159.0,84.03,369.8834615384616
5863,75014-1,Star Wars,Episode V,2013,Battle of Hoth,426.0,499.90000000000003,148.83,89.83,369.8834615384616
5864,75015-1,Star Wars,Episode II,2013,Corporate Alliance Tank Droid,271.0,199.89999999999998,158.16,61.15,369.8834615384616
5865,75016-1,Star Wars,Episode II,2013,Homing Spider Droid,295.0,299.9,140.29,80.76,369.8834615384616
5866,75017-1,Star Wars,Episode II,2013,Duel on Geonosis,391.0,399.90000000000003,198.52,135.64,369.8834615384616
5867,75018-1,Star Wars,The Yoda Chronicles,2013,Jek-14's Stealth Starfighter,550.0,699.9,179.5,98.65,369.8834615384616
5868,75019-1,Star Wars,Episode II,2013,AT-TE ,794.0,899.9,222.01,137.92,369.8834615384616
5869,75020-1,Star Wars,Episode VI,2013,Jabba's Sail Barge,850.0,1199.8999999999999,378.06,286.17,369.8834615384616
5870,75021-1,Star Wars,Episode II,2013,Republic Gunship,1175.0,1199.8999999999999,424.71,333.06,369.8834615384616
5871,75022-1,Star Wars,The Clone Wars,2013,Mandalorian Speeder,211.0,249.89999999999998,115.77,58.29,369.8834615384616
5872,75023-1,Star Wars,Seasonal,2013,LEGO Star Wars Advent Calendar,254.0,399.90000000000003,59.56,38.19,369.8834615384616
5873,75024-1,Star Wars,The Clone Wars,2013,HH-87 Starhopper,362.0,399.90000000000003,112.59,66.53,369.8834615384616
5874,75025-1,Star Wars,The Old Republic,2013,Jedi Defender-class Cruiser,927.0,899.9,399.37,315.65,369.8834615384616
5875,76000-1,DC Comics Super Heroes,Batman,2013,Arctic Batman vs. Mr. Freeze: Aquaman on Ice,198.0,199.89999999999998,32.5,12.97,369.8834615384616
5876,76001-1,DC Comics Super Heroes,The Dark Knight Trilogy,2013,The Bat vs. Bane: Tumbler Chase,368.0,399.90000000000003,62.04,42.89,369.8834615384616
5877,76002-1,DC Comics Super Heroes,Man of Steel,2013,Superman: Metropolis Showdown,119.0,129.9,17.86,7.1,369.8834615384616
5878,76003-1,DC Comics Super Heroes,Man of Steel,2013,Superman: Battle of Smallville,418.0,499.90000000000003,47.42,33.13,369.8834615384616
5879,76004-1,Marvel Super Heroes,Ultimate Spider-Man,2013,Spider-Man: Spider-Cycle Chase,237.0,199.89999999999998,38.52,18.11,369.8834615384616
5880,76005-1,Marvel Super Heroes,Ultimate Spider-Man,2013,Spider-Man: Daily Bugle Showdown,476.0,499.90000000000003,111.23,72.51,369.8834615384616
5881,76006-1,Marvel Super Heroes,Iron Man 3,2013,Iron Man: Extremis Sea Port Battle ,195.0,199.89999999999998,66.52,27.17,369.8834615384616
5882,76007-1,Marvel Super Heroes,Iron Man 3,2013,Iron Man: Malibu Mansion Attack,364.0,399.90000000000003,97.13,36.92,369.8834615384616
5883,76008-1,Marvel Super Heroes,Iron Man 3,2013,Iron Man vs. The Mandarin: Ultimate Showdown,91.0,129.9,35.95,16.71,369.8834615384616
5884,76009-1,DC Comics Super Heroes,Man of Steel,2013,Superman: Black Zero Escape,168.0,199.89999999999998,26.25,16.32,369.8834615384616
5885,79005-1,The Lord of the Rings,The Fellowship of the Ring,2013,The Wizard Battle,113.0,129.9,68.21,49.85,369.8834615384616
5886,79006-1,The Lord of the Rings,The Fellowship of the Ring,2013,The Council of Elrond,243.0,299.9,135.81,82.28,369.8834615384616
5887,79007-1,The Lord of the Rings,The Return of the King,2013,Battle at the Black Gate,656.0,599.9,334.87,208.66,369.8834615384616
5888,79008-1,The Lord of the Rings,The Return of the King,2013,Pirate Ship Ambush,756.0,999.9,317.84,256.01,369.8834615384616
5889,79011-1,The Hobbit,The Desolation of Smaug,2013,Dol Guldur Ambush,217.0,199.89999999999998,77.57,53.89,369.8834615384616
5890,79012-1,The Hobbit,The Desolation of Smaug,2013,Mirkwood Elf Army ,276.0,299.9,137.21,92.85,369.8834615384616
5891,79013-1,The Hobbit,The Desolation of Smaug,2013,Lake-town Chase,470.0,499.90000000000003,194.63,119.31,369.8834615384616
5892,79014-1,The Hobbit,The Desolation of Smaug,2013,Dol Guldur Battle,797.0,699.9,226.24,170.77,369.8834615384616
5893,79100-1,Teenage Mutant Ninja Turtles,TV Series,2013,Kraang Lab Escape,90.0,129.9,32.06,16.77,369.8834615384616
5894,79101-1,Teenage Mutant Ninja Turtles,TV Series,2013,Shredder's Dragon Bike,198.0,249.89999999999998,84.67,34.59,369.8834615384616
5895,79102-1,Teenage Mutant Ninja Turtles,TV Series,2013,Stealth Shell in Pursuit,162.0,199.89999999999998,43.68,17.23,369.8834615384616
5896,79103-1,Teenage Mutant Ninja Turtles,TV Series,2013,Turtle Lair Attack,488.0,499.90000000000003,147.1,99.94,369.8834615384616
5897,79104-1,Teenage Mutant Ninja Turtles,TV Series,2013,The Shellraiser Street Chase,690.0,599.9,59.0,20.0,369.8834615384616
5898,79105-1,Teenage Mutant Ninja Turtles,TV Series,2013,Baxter Robot Rampage,397.0,399.90000000000003,91.81,62.37,369.8834615384616
5899,79106-1,The Lone Ranger,The Lone Ranger,2013,Cavalry Builder Set,69.0,129.9,52.98,34.3,369.8834615384616
5900,79107-1,The Lone Ranger,The Lone Ranger,2013,Comanche Camp,161.0,199.89999999999998,51.25,33.21,369.8834615384616
5901,79108-1,The Lone Ranger,The Lone Ranger,2013,Stagecoach Escape,279.0,299.9,104.5,78.61,369.8834615384616
5902,79109-1,The Lone Ranger,The Lone Ranger,2013,Colby City Showdown,587.0,499.90000000000003,107.3,74.9,369.8834615384616
5903,79110-1,The Lone Ranger,The Lone Ranger,2013,Silver Mine Shootout,644.0,699.9,121.28,111.97,369.8834615384616
5904,79111-1,The Lone Ranger,The Lone Ranger,2013,Constitution Train Chase,699.0,999.9,253.06,218.31,369.8834615384616
5905,88003-1,Power Functions,Accessories,2013,L-Motor,1.0,139.9,25.1,17.63,369.8834615384616
5906,88004-1,Power Functions,Accessories,2013,Servo Motor,1.0,249.89999999999998,66.85,36.91,369.8834615384616
5907,850581-1,Friends,Accessories,2013,Friends Brick Calendar,140.0,149.9,24.22,20.0,369.8834615384616
5908,850591-1,Friends,Accessories,2013,Friends Name Sign,29.0,129.9,38.12,20.0,369.8834615384616
5909,850597-1,Gear,Bags,2013,Friends Carry Case,110.0,149.9,38.12,20.0,369.8834615384616
5910,850598-1,Gear,Trading/Playing cards,2013,Game Cards Binder,110.0,129.9,38.12,20.0,369.8834615384616
5911,850602-1,Gear,Key Chains/Legends of Chima,2013,Chima Cragger Key Chain,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5912,850607-1,Gear,Key Chains/Legends of Chima,2013,Eris Key Chain,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5913,850608-1,Gear,Key Chains/Legends of Chima,2013,Chima Laval Key Chain,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5914,850609-1,Gear,Key Chains/Legends of Chima,2013,Worriz Key Chain,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5915,850611-1,Gear,Role-play toys,2013,Cragger's Shield,110.0,129.9,38.12,20.0,369.8834615384616
5916,850612-1,Gear,Role-play toys,2013,Cragger Sword,110.0,99.9,38.12,20.0,369.8834615384616
5917,850614-1,Gear,Role-play toys,2013,Laval's Shield,110.0,129.9,38.12,20.0,369.8834615384616
5918,850615-1,Gear,Role-play toys,2013,Laval Sword,110.0,99.9,38.12,20.0,369.8834615384616
5919,850617-1,City,Elite Police,2013,Police Accessory Pack,34.0,149.9,21.19,11.5,369.8834615384616
5920,850618-1,City,Fire,2013,Fire Accessory Pack,43.0,149.9,14.07,20.0,369.8834615384616
5921,850622-1,Gear,Key Chains/Ninjago,2013,Golden Ninja Key Chain,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5922,850628-1,Gear,Role-play toys,2013,Samurai Sword and Sheath,110.0,149.9,38.12,20.0,369.8834615384616
5923,850632-1,Ninjago,The Final Battle,2013,NINJAGO Battle Pack,36.0,149.9,39.95,19.99,369.8834615384616
5924,850634-1,Gear,Key Chains/Star Wars,2013,R2-D2,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5925,850635-1,Gear,Magnets/Star Wars,2013,Darth Vader Magnet,110.0,69.9,38.12,20.0,369.8834615384616
5926,850636-1,Gear,Magnets/Star Wars,2013,Luke Skywalker Magnet,110.0,69.9,38.12,20.0,369.8834615384616
5927,850637-1,Gear,Magnets/Star Wars,2013,Princess Leia Magnet,110.0,69.9,38.12,20.0,369.8834615384616
5928,850638-1,Gear,Magnets/Star Wars,2013,Han Solo Magnet,110.0,69.9,38.12,20.0,369.8834615384616
5929,850639-1,Gear,Magnets/Star Wars,2013,Chewbacca Magnet,110.0,69.9,38.12,20.0,369.8834615384616
5930,850640-1,Gear,Magnets/Star Wars,2013,Obi-Wan Kenobi Magnet,110.0,69.9,38.12,20.0,369.8834615384616
5931,850641-1,Gear,Magnets/Star Wars,2013,Darth Maul Magnet,110.0,69.9,38.12,20.0,369.8834615384616
5932,850642-1,Gear,Magnets/Star Wars,2013,Stormtrooper Magnet,110.0,69.9,38.12,20.0,369.8834615384616
5933,850643-1,Gear,Magnets/Star Wars,2013,Boba Fett Magnet,110.0,69.9,38.12,20.0,369.8834615384616
5934,850644-1,Gear,Magnets/Star Wars,2013,Yoda Magnet,110.0,69.9,38.12,20.0,369.8834615384616
5935,850646-1,Gear,Key Chains/Teenage Mutant Ninja Turtles ,2013,Donatello Key Chain,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5936,850648-1,Gear,Key Chains/Teenage Mutant Ninja Turtles ,2013,Leonardo Key Chain,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5937,850653-1,Gear,Key Chains/Teenage Mutant Ninja Turtles ,2013,Michelangelo Key Chain,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5938,850656-1,Gear,Key Chains/Teenage Mutant Ninja Turtles ,2013,Raphael Key Chain,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5939,850657-1,Gear,Key Chains/The Lone Ranger,2013,Lone Ranger Key Chain,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5940,850663-1,Gear,Key Chains/The Lone Ranger,2013,Tonto Key Chain,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5941,850664-1,Gear,Magnets/Super Heroes,2013,Batman Magnet,110.0,69.9,38.12,20.0,369.8834615384616
5942,850666-1,Gear,Magnets/Super Heroes,2013,Spider-Man Magnet,110.0,69.9,38.12,20.0,369.8834615384616
5943,850670-1,Gear,Magnets/Super Heroes,2013,Superman Magnet,110.0,69.9,38.12,20.0,369.8834615384616
5944,850673-1,Gear,Magnets/Super Heroes,2013,Iron Man Magnet,110.0,69.9,38.12,20.0,369.8834615384616
5945,850674-1,Gear,Key Chains/Lord Of The Rings,2013,Frodo Baggins Key Chain,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5946,850680-1,Gear,Key Chains/Lord Of The Rings,2013,Bilbo Baggins Key Chain,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5947,850681-1,Gear,Magnets/Lord Of The Rings,2013,Frodo Baggins Magnet,110.0,69.9,38.12,20.0,369.8834615384616
5948,850682-1,Gear,Magnets/Lord Of The Rings,2013,Bilbo Baggins Magnet,110.0,69.9,38.12,20.0,369.8834615384616
5949,850686-1,Gear,Stationery,2013,Notebook with Studs,110.0,129.9,38.12,20.0,369.8834615384616
5950,850702-1,Miscellaneous,Photo frames,2013,Classic Picture Frame,55.0,149.9,38.12,20.0,369.8834615384616
5951,850705-1,Gear,Housewares,2013,Salt and Pepper Set,110.0,69.9,38.12,20.0,369.8834615384616
5952,850751-1,Miscellaneous,Photo frames,2013,Orlando Picture Frame,102.0,149.9,38.12,20.0,369.8834615384616
5953,850775-1,Gear,Storage,2013,Legends of Chima Speedorz Storage Bag ,110.0,199.89999999999998,38.12,20.0,369.8834615384616
5954,850776-1,Gear,Playmats,2013,Legends of Chima Playmat,110.0,169.89999999999998,38.12,20.0,369.8834615384616
5955,850777-1,Legends of Chima,Accessories,2013,Legends of Chima Accessory Set,34.0,129.9,38.12,20.0,369.8834615384616
5956,850779-1,Legends of Chima,Accessories,2013,Legends of Chima Minifigure Accessory Set,42.0,149.9,13.76,15.0,369.8834615384616
5957,850781-1,Gear,Bags,2013,Friends Carry Case House,110.0,129.9,38.12,20.0,369.8834615384616
5958,850789-1,Gear,Bag charms,2013,Friends Horse Bag Charm,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5959,850791-1,Seasonal,Birthday,2013,LEGO Minifigure Birthday Set,28.0,79.9,11.36,9.5,369.8834615384616
5960,850794-1,Gear,Stickers,2013,LEGO Family Car Stickers,110.0,79.9,38.12,20.0,369.8834615384616
5961,850797-1,Gear,Stickers,2013,LEGO Classic Wall Stickers,110.0,169.89999999999998,38.12,20.0,369.8834615384616
5962,850798-1,Gear,Miscellaneous,2013,LEGO Classic Name Sign,110.0,129.9,38.12,20.0,369.8834615384616
5963,850800-1,Gear,Bag charms,2013,Hedgehog Bag Charm,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5964,850807-1,Gear,Key Chains/Miscellaneous,2013,Gold Minifigure Key Chain,110.0,59.900000000000006,38.12,20.0,369.8834615384616
5965,850808-1,Gear,Key Chains/Brick,2013,Gold 2 x 4 Stud Key Chain,110.0,59.900000000000006,38.12,20.0,369.8834615384616
5966,850813-1,Gear,Key Chains/DC Comics Super Heroes,2013,DC Universe Super Heroes Superman Key Chain,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5967,850814-1,Gear,Key Chains/Marvel Super Heroes,2013,Marvel Super Heroes The Hulk Key Chain ,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5968,850815-1,Gear,Key Chains/DC Comics Super Heroes,2013,DC Universe Super Heroes Arctic Batman Key Chain,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5969,850838-1,Gear,Key Chains/Teenage Mutant Ninja Turtles ,2013,Splinter Key Chain,110.0,49.900000000000006,38.12,20.0,369.8834615384616
5970,850839-1,Pirates,Accessories,2013,Classic Pirate Set,39.0,149.9,61.21,27.0,369.8834615384616
5971,850840-1,Gear,Seasonal,2013,Classic Gift Bag,110.0,39.900000000000006,38.12,20.0,369.8834615384616
5972,850841-1,Gear,Seasonal,2013,Classic Gift Wrap,110.0,39.900000000000006,38.12,20.0,369.8834615384616
5973,850842-1,Seasonal,Christmas,2013,Fire Truck Holiday Bauble,34.0,79.9,23.87,20.0,369.8834615384616
5974,850843-1,Seasonal,Christmas,2013,T-Rex Holiday Bauble,25.0,79.9,15.64,24.99,369.8834615384616
5975,850849-1,Seasonal,Christmas,2013,Doghouse Holiday Bauble,29.0,79.9,14.5,6.84,369.8834615384616
5976,850850-1,Seasonal,Christmas,2013,Santa Holiday Bauble,23.0,79.9,11.32,6.22,369.8834615384616
5977,850851-1,Seasonal,Christmas,2013,Tree Holiday Bauble,26.0,79.9,16.95,10.0,369.8834615384616
5978,850852-1,Seasonal,Christmas,2013,Reindeer Holiday Bauble,21.0,79.9,17.46,10.0,369.8834615384616
5979,2000430-1,Serious Play,Serious Play,2013,Identity and Landscape Kit,2631.0,7899.9,685.11,20.0,369.8834615384616
5980,2000431-1,Serious Play,Serious Play,2013,Connections Kit,2455.0,7549.9,676.28,20.0,369.8834615384616
5981,2856236-1,Gear,Watches/Clocks,2013,Red Brick Clock,110.0,249.89999999999998,38.12,20.0,369.8834615384616
5982,2856238-1,Gear,Watches/Clocks,2013,Yellow Brick Clock,110.0,249.89999999999998,38.12,20.0,369.8834615384616
5983,5002194-1,Gear,Video Games/Wii U,2013,LEGO City: Undercover,110.0,499.90000000000003,38.12,20.0,369.8834615384616
5984,5002195-1,Gear,Digital media,2013,LEGO Ninjago: Masters of Spinjitzu Season Two DVD,110.0,199.89999999999998,38.12,20.0,369.8834615384616
5985,5002198-1,Gear,Digital media,2013,LEGO Star Wars: The Empire Strikes Out DVD,110.0,149.9,38.12,20.0,369.8834615384616
5986,5002202-1,Gear,Digital media,2013,LEGO Batman - The Movie: DC Super Heroes Unite DVD,110.0,199.89999999999998,38.12,20.0,369.8834615384616
5987,5002207-1,Gear,Watches/Clocks,2013,Classic Minifigure Link Watch,110.0,249.89999999999998,38.12,20.0,369.8834615384616
5988,5002208-1,Gear,Watches/Clocks,2013,Legends of Chima Crawley Kids Minifigure Watch,110.0,249.89999999999998,38.12,20.0,369.8834615384616
5989,5002209-1,Gear,Watches/Clocks,2013,Legends of Chima Lennox Kids Minifigure Watch,110.0,249.89999999999998,38.12,20.0,369.8834615384616
5990,5002210-1,Gear,Watches/Clocks,2013,C-3PO and R2-D2 Minifigure Watch,110.0,249.89999999999998,38.12,20.0,369.8834615384616
5991,5002211-1,Gear,Watches/Clocks,2013,Obi-Wan Kenobi vs. Darth Vader Minifigure Watch,110.0,249.89999999999998,38.12,20.0,369.8834615384616
5992,5002212-1,Gear,Watches/Clocks,2013,Chewbacca Minifigure Watch,110.0,249.89999999999998,38.12,20.0,369.8834615384616
5993,5002417-1,Gear,Watches/Clocks,2013,Legends of Chima Cragger Minifigure Clock,110.0,299.9,38.12,20.0,369.8834615384616
5994,5002420-1,Gear,Video Games/3DS,2013,LEGO City Undercover: The Chase Begins,110.0,299.9,38.12,20.0,369.8834615384616
5995,5002421-1,Gear,Watches/Clocks,2013,Legends of Chima Laval Minifigure Clock,110.0,299.9,38.12,20.0,369.8834615384616
5996,5002422-1,Gear,Watches/Clocks,2013,The Joker Minifigure Clock,110.0,299.9,38.12,20.0,369.8834615384616
5997,5002423-1,Gear,Watches/Clocks,2013,Batman Minifigure Clock,110.0,299.9,38.12,20.0,369.8834615384616
5998,5002424-1,Gear,Watches/Clocks,2013,Superman Minifigure Clock,110.0,299.9,38.12,20.0,369.8834615384616
5999,5002518-1,Gear,Phone cases,2013,Belkin Brand iPhone 5 Case Blue/Purple,110.0,299.9,38.12,20.0,369.8834615384616
6000,5002520-1,Gear,Phone cases,2013,Belkin Brand iPhone 5 Case Black/Blue,110.0,299.9,38.12,20.0,369.8834615384616
6001,5002664-1,Gear,Video Games/3DS,2013,LEGO Legends of Chima: Laval's Journey - Nintendo 3DS,110.0,199.89999999999998,38.12,20.0,369.8834615384616
6002,5002665-1,Gear,Video Games/DS,2013,LEGO Legends of Chima: Laval's Journey - Nintendo DS,110.0,199.89999999999998,38.12,20.0,369.8834615384616
6003,5002666-1,Gear,Video Games/PS Vita,2013,LEGO Legends of Chima: Laval's Journey - PlayStation Vita,110.0,199.89999999999998,38.12,20.0,369.8834615384616
6004,5002671-1,Gear,Storage,2013,Friends ZipBin Toy Box: Heartlake Place,110.0,199.89999999999998,38.12,20.0,369.8834615384616
6005,5002672-1,Gear,Storage,2013,Friends ZipBin Wristlet,110.0,149.9,38.12,20.0,369.8834615384616
6006,5002673-1,Gear,Digital media,2013,LEGO Legends of Chima: The Power of the CHI DVD,110.0,149.9,38.12,20.0,369.8834615384616
6007,5002674-1,Gear,Stationery,2013,Moleskine 2014 Weekly Pocket Planner,110.0,189.89999999999998,38.12,20.0,369.8834615384616
6008,5002675-1,Gear,Stationery,2013,Moleskine 2014 Daily Pocket Planner,110.0,219.89999999999998,38.12,20.0,369.8834615384616
6009,5002676-1,Gear,Stationery,2013,Moleskine 2014 Large Weekly Planner,110.0,249.89999999999998,38.12,20.0,369.8834615384616
6010,5002677-1,Gear,Stationery,2013,Moleskine 2014 Large Daily Planner,110.0,259.9,38.12,20.0,369.8834615384616
6011,5002678-1,Gear,Phone cases,2013,LEGO Belkin Brand iPhone 5 Builder Case Yellow/Red,110.0,299.9,38.12,20.0,369.8834615384616
6012,5002679-1,Gear,Bags,2013,Legends of Chima Classic Backpack,110.0,319.9,38.12,20.0,369.8834615384616
6013,5002774-1,Gear,Video Games/Wii U,2013,Batman: DC Universe Super Heroes Wii U Video Game,110.0,299.9,38.12,20.0,369.8834615384616
6014,5002779-1,Gear,Phone cases,2013,iPod touch Case Yellow and Blue,110.0,199.89999999999998,38.12,20.0,369.8834615384616
6015,5002790-1,Gear,Video Games/3DS,2013,Marvel 3DS,110.0,299.9,38.12,20.0,369.8834615384616
6016,5002792-1,Gear,Video Games/PC,2013,Marvel PC,110.0,199.89999999999998,38.12,20.0,369.8834615384616
6017,5002793-1,Gear,Video Games/PS Vita,2013,Marvel PS VITA,110.0,299.9,38.12,20.0,369.8834615384616
6018,5002794-1,Gear,Video Games/PS3,2013,Marvel PS3,110.0,499.90000000000003,38.12,20.0,369.8834615384616
6019,5002796-1,Gear,Video Games/Wii U,2013,Marvel WII U,110.0,499.90000000000003,38.12,20.0,369.8834615384616
6020,5002822-1,Gear,Magnets/Star Wars,2013,Darth Maul and Yoda Magnets,110.0,139.9,38.12,20.0,369.8834615384616
6021,5002823-1,Gear,Magnets/Star Wars,2013,Darth Vader and Obi Wan Kenobi Magnets,110.0,139.9,38.12,20.0,369.8834615384616
6022,5002824-1,Gear,Magnets/Star Wars,2013,"Han Solo, Chewbacca and Stormtrooper Magnets",110.0,209.89999999999998,38.12,20.0,369.8834615384616
6023,5002825-1,Gear,Magnets/Star Wars,2013,"Luke Skywalker, Princess Leia and Boba Fett Magnets",110.0,209.89999999999998,38.12,20.0,369.8834615384616
